Waypoints
Date,Name,Latitude,Longitude,Altitude (m),Notes
2018-03-24 10:37:31.74,,52.045127,5.172255,-1.69091796875,"(null)"
2018-03-24 10:38:23.06,,52.045117,5.171451,5.51031494140625,"(null)"
2018-03-24 10:39:19.19,,52.044837,5.170666,2.15045166015625,"(null)"
2018-03-24 10:40:31.62,,52.044992,5.169944,3.0999755859375,"(null)"
2018-03-24 10:41:18.10,,52.045040,5.169177,1.4921875,"(null)"
2018-03-24 10:43:04.32,,52.044808,5.168568,-1.61236572265625,"(null)"
2018-03-24 10:43:51.03,,52.044582,5.167930,-1.67547607421875,"(null)"
2018-03-24 10:45:06.88,,52.044588,5.167926,-0.92132568359375,"(null)"
2018-03-24 10:45:50.23,,52.044726,5.167269,-0.60565185546875,"(null)"
2018-03-24 10:46:22.61,,52.044730,5.167247,1.7921142578125,"(null)"
2018-03-24 10:46:58.01,,52.044724,5.166564,2.37554931640625,"(null)"
2018-03-24 10:47:40.04,,52.044677,5.165843,3.09918212890625,"(null)"
2018-03-24 10:48:15.66,,52.044609,5.165150,5.23193359375,"(null)"
2018-03-24 10:49:21.33,,52.044375,5.164228,4.5018310546875,"(null)"
2018-03-24 10:50:04.81,,52.044813,5.164192,0.958740234375,"(null)"
2018-03-24 10:51:22.95,,52.045333,5.164196,-4.811279296875,"(null)"
2018-03-24 10:51:59.10,,52.045667,5.164212,-2.63934326171875,"(null)"
2018-03-24 10:52:42.79,,52.045674,5.164982,0.18780517578125,"(null)"
2018-03-24 10:53:14.37,,52.045679,5.164985,-0.49822998046875,"(null)"
2018-03-24 10:53:58.32,,52.045679,5.165863,-1.4112548828125,"(null)"
2018-03-24 10:55:21.62,,52.045649,5.166826,-2.62628173828125,"(null)"
2018-03-24 10:56:00.28,,52.045665,5.167587,-5.84564208984375,"(null)"
2018-03-24 10:56:47.61,,52.045715,5.168509,-4.2467041015625,"(null)"
2018-03-24 10:57:32.16,,52.045736,5.169164,-6.03851318359375,"(null)"
2018-03-24 10:58:21.86,,52.045734,5.170041,-8.76849365234375,"(null)"
2018-03-24 10:59:28.50,,52.045719,5.170805,-10.24407958984375,"(null)"
2018-03-24 11:00:06.62,,52.045727,5.171590,-9.6080322265625,"(null)"
2018-03-24 11:00:42.19,,52.045778,5.172285,-7.87518310546875,"(null)"
2018-03-24 11:01:24.83,,52.045795,5.173190,-4.40325927734375,"(null)"

Track
Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2018-03-24 10:37:05.00,2018-03-24 11:37:05.00,47.53039646148682,52.045094,5.172388,5,-0.55767822265625,4,45.65825990141747,1.269999980926514,1.764099689509165,313.9453125,249.1120758056641,247.7900085449219,25,121.7782910979591
2018-03-24 10:37:09.00,2018-03-24 11:37:09.00,51.53049445152283,52.045116,5.172313,5,-2.22119140625,6,51.37499722586043,1.399999976158142,1.764099689509165,310.078125,241.2342834472656,239.9122161865234,25,1358.057664731348
2018-03-24 10:37:14.18,2018-03-24 11:37:14.18,51.53049445152283,52.045116,5.172313,5,-2.18231201171875,6,51.37499722586043,1.399999976158142,0.6773568125559719,310.078125,241.2342834472656,239.9122161865234,25,1358.057664731348
2018-03-24 10:37:29.19,2018-03-24 11:37:29.19,51.53049445152283,52.045116,5.172313,5,-1.67645263671875,6,51.37499722586043,1.399999976158142,0,310.078125,241.2342834472656,239.9122161865234,25,1358.057664731348
2018-03-24 10:37:44.00,2018-03-24 11:37:44.00,86.5303966999054,52.045123,5.172223,5,2.064697265625,6,57.53439995929407,1.700000047683716,0,304.8046875,237.8307342529297,236.5086669921875,25,6.942588365435599
2018-03-24 10:37:44.19,2018-03-24 11:37:44.19,86.5303966999054,52.045123,5.172223,5,-0.5782470703125,6,57.53439995929407,1.700000047683716,0.4073164941308322,304.8046875,237.8307342529297,236.5086669921875,25,6.942588365435599
2018-03-24 10:37:47.00,2018-03-24 11:37:47.00,89.53039610385895,52.045151,5.172150,5,1.79248046875,6,63.50313649658511,2.009999990463257,0.4073164941308322,287.578125,237.8246612548828,236.5025939941406,25,5.290842652994875
2018-03-24 10:37:51.00,2018-03-24 11:37:51.00,93.53039681911469,52.045180,5.172073,5,1.3311767578125,4,69.68668953832649,1.679999947547913,0.4073164941308322,288.28125,232.7754974365234,231.4534301757812,25,5.945257063621442
2018-03-24 10:37:55.00,2018-03-24 11:37:55.00,97.53039729595184,52.045186,5.171992,5,2.5150146484375,4,75.2594053015911,1.419999957084656,0.4073164941308322,284.4140625,222.2239837646484,220.9019165039062,25,6.51779274399996
2018-03-24 10:37:59.00,2018-03-24 11:37:59.00,101.5303961038589,52.045185,5.171893,5,2.2806396484375,4,82.06003200952989,1.669999957084656,0.4073164941308322,282.65625,218.3493804931641,217.0273132324219,25,7.910900888587816
2018-03-24 10:37:59.19,2018-03-24 11:37:59.19,101.5303961038589,52.045185,5.171893,5,2.6719970703125,4,82.06003200952989,1.669999957084656,1.530416455258927,282.65625,218.3493804931641,217.0273132324219,25,7.910900888587816
